"Date","Price","Open","High","Low","Vol.","Change %"
"03/24/2021","7.7681","7.7670","7.7698","7.7668","","0.01%"
"03/23/2021","7.7671","7.7660","7.7681","7.7650","","0.02%"
"03/22/2021","7.7658","7.7652","7.7681","7.7648","","0.01%"
"03/19/2021","7.7647","7.7648","7.7674","7.7641","","0.00%"
"03/18/2021","7.7646","7.7656","7.7661","7.7635","","-0.01%"
"03/17/2021","7.7653","7.7652","7.7675","7.7646","","0.01%"
"03/16/2021","7.7648","7.7655","7.7672","7.7635","","-0.01%"
"03/15/2021","7.7654","7.7627","7.7663","7.7611","","0.04%"
"03/12/2021","7.7625","7.7593","7.7668","7.7575","","0.05%"
"03/11/2021","7.7585","7.7615","7.7625","7.7576","","-0.03%"
"03/10/2021","7.7612","7.7610","7.7650","7.7603","","0.01%"
"03/09/2021","7.7608","7.7691","7.7701","7.7604","","-0.10%"
"03/08/2021","7.7688","7.7636","7.7701","7.7622","","0.07%"
"03/05/2021","7.7632","7.7590","7.7657","7.7582","","0.06%"
"03/04/2021","7.7589","7.7568","7.7602","7.7561","","0.03%"
"03/03/2021","7.7567","7.7569","7.7589","7.7561","","0.00%"
"03/02/2021","7.7570","7.7564","7.7589","7.7557","","0.01%"
"03/01/2021","7.7562","7.7566","7.7590","7.7555","","0.00%"
"02/26/2021","7.7564","7.7541","7.7575","7.7538","","0.03%"
"02/25/2021","7.7540","7.7548","7.7552","7.7534","","-0.01%"
"02/24/2021","7.7546","7.7537","7.7555","7.7531","","0.01%"
"02/23/2021","7.7537","7.7536","7.7542","7.7529","","0.01%"
"02/22/2021","7.7533","7.7533","7.7540","7.7527","","0.00%"
"02/19/2021","7.7532","7.7529","7.7538","7.7524","","0.01%"
"02/18/2021","7.7527","7.7527","7.7531","7.7522","","0.00%"
"02/17/2021","7.7524","7.7524","7.7531","7.7521","","0.00%"
"02/16/2021","7.7521","7.7527","7.7531","7.7520","","-0.01%"
"02/15/2021","7.7525","7.7529","7.7533","7.7523","","-0.01%"
"02/12/2021","7.7529","7.7529","7.7533","7.7524","","0.00%"
"02/11/2021","7.7527","7.7522","7.7532","7.7521","","0.01%"
"02/10/2021","7.7522","7.7517","7.7527","7.7516","","0.01%"
"02/09/2021","7.7516","7.7523","7.7526","7.7515","","-0.01%"
"02/08/2021","7.7522","7.7529","7.7534","7.7519","","-0.01%"
